id,tubeid,potid,gridid,species,burrow,crack,root,worms,voidtype,day
T6_2E-72,6,T6_2E,72,CAMROT,0,0,0,absent,soil,29
T27_9B-11,27,T27_9B,11,ACHMIL,0,0,0,absent,soil,29
T36_12A-103,36,T36_12A,103,ACHMIL,0,0,0,absent,soil,29
T33_11C-3,33,T33_11C,3,CAMROT,0,0,0,absent,soil,29
T6_2E-106,6,T6_2E,106,CAMROT,0,0,0,absent,soil,29
T15_5D-79,15,T15_5D,79,CAMROT,0,0,0,absent,soil,29
T12_4A-110,12,T12_4A,110,ACHMIL,0,0,0,absent,soil,29
T18_6E-57,18,T18_6E,57,CAMROT,0,0,0,absent,soil,29
T3_1B-88,3,T3_1B,88,ACHMIL,0,0,0,absent,soil,29
T33_11B-51,33,T33_11B,51,ACHMIL,0,0,0,absent,soil,29
T9_3E-7,9,T9_3E,7,CAMROT,0,0,0,absent,soil,29
T18_6E-78,18,T18_6E,78,CAMROT,0,0,0,absent,soil,29
T21_7A-81,21,T21_7A,81,ACHMIL,0,0,0,absent,soil,29
T24_8A-106,24,T24_8A,106,ACHMIL,0,0,0,absent,soil,29
T33_11A-16,33,T33_11A,16,ACHMIL,0,0,0,absent,soil,29
T33_11A-45,33,T33_11A,45,ACHMIL,0,0,0,absent,soil,29
T21_7A-44,21,T21_7A,44,ACHMIL,0,0,0,absent,soil,29
T12_4C-89,12,T12_4C,89,CAMROT,0,0,0,absent,soil,29
T12_4E-60,12,T12_4E,60,CAMROT,0,0,0,absent,soil,29
T24_8A-79,24,T24_8A,79,ACHMIL,0,0,0,absent,soil,29
T36_12A-96,36,T36_12A,96,ACHMIL,0,0,0,absent,soil,29
T15_5A-61,15,T15_5A,61,ACHMIL,0,0,0,absent,soil,29
T12_4C-97,12,T12_4C,97,CAMROT,0,0,0,absent,soil,29
T6_2E-102,6,T6_2E,102,CAMROT,0,0,0,absent,soil,29
T33_11B-14,33,T33_11B,14,ACHMIL,0,0,0,absent,soil,29
T27_9B-74,27,T27_9B,74,ACHMIL,0,0,0,absent,soil,29
T3_1B-3,3,T3_1B,3,ACHMIL,0,0,0,absent,soil,29
T9_3E-87,9,T9_3E,87,CAMROT,0,0,0,absent,soil,29
T21_7D-29,21,T21_7D,29,ACHMIL,0,0,0,absent,soil,29
T36_12D-107,36,T36_12D,107,CAMROT,0,0,0,absent,soil,29
T30_10E-32,30,T30_10E,32,CAMROT,0,0,0,absent,soil,29
T24_8E-73,24,T24_8E,73,CAMROT,0,0,0,absent,soil,29
T33_11B-74,33,T33_11B,74,ACHMIL,0,0,0,absent,soil,29
T36_12E-58,36,T36_12E,58,ACHMIL,0,0,0,absent,soil,29
T27_9B-6,27,T27_9B,6,ACHMIL,0,0,0,absent,soil,29
T21_7B-109,21,T21_7B,109,CAMROT,0,0,0,absent,soil,29
T24_8E-27,24,T24_8E,27,CAMROT,0,0,0,absent,soil,29
T33_11B-26,33,T33_11B,26,ACHMIL,0,0,0,absent,soil,29
T6_2E-32,6,T6_2E,32,CAMROT,0,0,0,absent,soil,29
T36_12A-91,36,T36_12A,91,ACHMIL,0,0,0,absent,soil,29
T33_11A-2,33,T33_11A,2,ACHMIL,0,0,0,absent,soil,29
T18_6E-95,18,T18_6E,95,CAMROT,0,0,0,absent,soil,29
T33_11A-72,33,T33_11A,72,ACHMIL,0,0,0,absent,soil,29
T12_4E-58,12,T12_4E,58,CAMROT,0,0,0,absent,soil,29
T12_4E-61,12,T12_4E,61,CAMROT,0,0,0,absent,soil,29
T36_12A-13,36,T36_12A,13,ACHMIL,0,0,0,absent,soil,29
T27_9B-69,27,T27_9B,69,ACHMIL,0,0,0,absent,soil,29
T18_6E-31,18,T18_6E,31,CAMROT,0,0,0,absent,soil,29
T21_7B-111,21,T21_7B,111,CAMROT,0,0,0,absent,soil,29
T12_4E-72,12,T12_4E,72,CAMROT,0,0,0,absent,soil,29
T12_4A-94,12,T12_4A,94,ACHMIL,0,0,0,absent,soil,29
T12_4A-104,12,T12_4A,104,ACHMIL,0,0,0,absent,soil,29
T9_3C-82,9,T9_3C,82,ACHMIL,0,0,0,absent,soil,29
T36_12A-64,36,T36_12A,64,ACHMIL,0,0,0,absent,soil,29
T6_2E-62,6,T6_2E,62,CAMROT,0,0,0,absent,soil,29
T12_4C-66,12,T12_4C,66,CAMROT,0,0,0,absent,soil,29
T27_9A-80,27,T27_9A,80,CAMROT,0,0,0,absent,soil,29
T33_11C-108,33,T33_11C,108,CAMROT,0,0,0,absent,soil,29
T18_6E-29,18,T18_6E,29,CAMROT,0,0,0,absent,soil,29
T21_7D-88,21,T21_7D,88,ACHMIL,0,0,0,absent,soil,29
T33_11A-95,33,T33_11A,95,ACHMIL,0,0,0,absent,soil,29
T3_1B-75,3,T3_1B,75,ACHMIL,0,0,0,absent,soil,29
T24_8A-88,24,T24_8A,88,ACHMIL,0,0,0,absent,soil,29
T6_2E-67,6,T6_2E,67,CAMROT,0,0,0,absent,soil,29
T18_6E-96,18,T18_6E,96,CAMROT,0,0,0,absent,soil,29
T6_2A-84,6,T6_2A,84,ACHMIL,0,0,0,absent,soil,29
T12_4C-3,12,T12_4C,3,CAMROT,0,0,0,absent,soil,29
T33_11C-65,33,T33_11C,65,CAMROT,0,0,0,absent,soil,29
T6_2E-34,6,T6_2E,34,CAMROT,0,0,0,absent,soil,29
T9_3E-27,9,T9_3E,27,CAMROT,0,0,0,absent,soil,29
T6_2E-94,6,T6_2E,94,CAMROT,0,0,0,absent,soil,29
T27_9A-47,27,T27_9A,47,CAMROT,0,0,0,absent,soil,29
T33_11B-96,33,T33_11B,96,ACHMIL,0,0,0,absent,soil,29
T21_7B-19,21,T21_7B,19,CAMROT,0,0,0,absent,soil,29
T6_2E-105,6,T6_2E,105,CAMROT,0,0,0,absent,soil,29
T36_12E-104,36,T36_12E,104,ACHMIL,0,0,0,absent,soil,29
T12_4A-100,12,T12_4A,100,ACHMIL,0,0,0,absent,soil,29
T36_12A-85,36,T36_12A,85,ACHMIL,0,0,0,absent,soil,29
T21_7E-78,21,T21_7E,78,CAMROT,0,0,0,absent,soil,29
T33_11D-108,33,T33_11D,108,CAMROT,0,0,0,absent,soil,29
T27_9A-10,27,T27_9A,10,CAMROT,0,0,0,absent,soil,29
T12_4C-28,12,T12_4C,28,CAMROT,0,0,0,absent,soil,29
T6_2E-60,6,T6_2E,60,CAMROT,0,0,0,absent,soil,29
T18_6C-43,18,T18_6C,43,ACHMIL,0,0,0,absent,soil,29
T9_3C-43,9,T9_3C,43,ACHMIL,0,0,0,absent,soil,29
T6_2E-81,6,T6_2E,81,CAMROT,0,0,0,absent,soil,29
T27_9B-32,27,T27_9B,32,ACHMIL,0,0,0,absent,soil,29
T33_11D-39,33,T33_11D,39,CAMROT,0,0,0,absent,soil,29
T12_4C-8,12,T12_4C,8,CAMROT,0,0,0,absent,soil,29
T6_2E-27,6,T6_2E,27,CAMROT,0,0,0,absent,soil,29
T36_12D-52,36,T36_12D,52,CAMROT,0,0,0,absent,soil,29
T21_7B-87,21,T21_7B,87,CAMROT,0,0,0,absent,soil,29
T21_7A-60,21,T21_7A,60,ACHMIL,0,0,0,absent,soil,29
T24_8E-92,24,T24_8E,92,CAMROT,0,0,0,absent,soil,29
T27_9B-19,27,T27_9B,19,ACHMIL,0,0,0,absent,soil,29
T27_9A-11,27,T27_9A,11,CAMROT,0,0,0,absent,soil,29
T6_2A-81,6,T6_2A,81,ACHMIL,0,0,0,absent,soil,29
T18_6C-55,18,T18_6C,55,ACHMIL,0,0,0,absent,soil,29
T27_9B-4,27,T27_9B,4,ACHMIL,0,0,0,absent,soil,29
T18_6C-96,18,T18_6C,96,ACHMIL,0,0,0,absent,soil,29
T21_7D-3,21,T21_7D,3,ACHMIL,0,0,0,absent,soil,29
T21_7E-99,21,T21_7E,99,CAMROT,0,0,0,absent,soil,29
T33_11D-70,33,T33_11D,70,CAMROT,0,0,0,absent,soil,29
T27_9A-53,27,T27_9A,53,CAMROT,0,0,0,absent,soil,29
T33_11B-21,33,T33_11B,21,ACHMIL,0,0,0,absent,soil,29
T33_11D-1,33,T33_11D,1,CAMROT,0,0,0,absent,soil,29
T27_9A-19,27,T27_9A,19,CAMROT,0,0,0,absent,soil,29
T21_7B-104,21,T21_7B,104,CAMROT,0,0,0,absent,soil,29
T24_8E-67,24,T24_8E,67,CAMROT,0,0,0,absent,soil,29
T33_11C-69,33,T33_11C,69,CAMROT,0,0,0,absent,soil,29
T6_2A-15,6,T6_2A,15,ACHMIL,0,0,0,absent,soil,29
T3_1B-40,3,T3_1B,40,ACHMIL,0,0,0,absent,soil,29
T6_2E-80,6,T6_2E,80,CAMROT,0,0,0,absent,soil,29
T15_5A-99,15,T15_5A,99,ACHMIL,0,0,0,absent,soil,29
T27_9A-66,27,T27_9A,66,CAMROT,0,0,0,absent,soil,29
T9_3C-63,9,T9_3C,63,ACHMIL,0,0,0,absent,soil,29
T21_7B-108,21,T21_7B,108,CAMROT,0,0,0,absent,soil,29
T36_12D-27,36,T36_12D,27,CAMROT,0,0,0,absent,soil,29
T33_11C-54,33,T33_11C,54,CAMROT,0,0,0,absent,soil,29
T21_7E-97,21,T21_7E,97,CAMROT,0,0,0,absent,soil,29
T27_9B-111,27,T27_9B,111,ACHMIL,0,0,0,absent,soil,29
